,Movie,Box Office,Release Date_x,Award_date,Win or Nominated,Release Year,Release Month
417,How to Survive a Plague,122665.0,2012-09-20,2013-02-24,N,2012.0,9.0
418,The Invisible War,66167.0,2012-01-20,2013-02-24,N,2012.0,1.0
419,Searching for Sugar Man,3100000.0,2012-06-30,2013-02-24,W,2012.0,6.0
421,The Shawshank Redemption,0.0,1994-09-23,2005-02-27,N,1994.0,9.0
422,Kon-Tiki,1511798.0,2012-08-24,2013-02-24,N,2012.0,8.0
423,Dr. No,0.0,1962-10-04,2005-02-27,W,1962.0,10.0
425,Hitchcock,6002708.0,2012-11-22,2013-02-24,N,2012.0,11.0
426,The Hobbit: An Unexpected Journey,303001229.0,2012-11-26,2013-02-24,N,2012.0,11.0
427,Adam and Dog,0.0,2013-02-01,2014-03-02,N,2013.0,2.0
428,Fresh Guacamole,0.0,2012-03-02,2013-02-24,N,2012.0,3.0
430,Paperman,0.0,2012-11-02,2013-02-24,W,2012.0,11.0
431,Curfew,0.0,2012-01-01,2013-02-24,W,2012.0,1.0
433,The Avengers,623279547.0,2012-04-25,2013-02-24,N,2012.0,4.0
434,Prometheus,126464904.0,2012-05-30,2013-02-24,N,2012.0,5.0
435,Moonrise Kingdom,45507865.0,2012-05-24,2013-02-24,N,2012.0,5.0
438,The Croods,187165546.0,2013-03-20,2014-03-02,N,2013.0,3.0
439,Despicable Me 2,368049635.0,2013-06-25,2014-03-02,N,2013.0,6.0
440,Frozen,400736600.0,2013-11-27,2014-03-02,W,2013.0,11.0
441,Inside Llewyn Davis,9666762.0,2013-10-06,2014-03-02,N,2013.0,10.0
442,Prisoners,60962878.0,2013-09-18,2014-03-02,N,2013.0,9.0
443,The Great Gatsby,144812796.0,2013-05-10,2014-03-02,W,2013.0,5.0
444,The Invisible Woman,1200000.0,2013-12-25,2014-03-02,N,2013.0,12.0
445,Cutie and the Boxer,199274.0,2013-08-16,2014-03-02,N,2013.0,8.0
446,Dirty Wars,365604.0,2013-01-18,2014-03-02,N,2013.0,1.0
448,20 Feet from Stardom,0.0,2013-06-14,2014-03-02,W,2013.0,6.0
449,Cavedigger,0.0,2013-01-12,2014-03-02,N,2013.0,1.0
450,Karama Has No Walls,0.0,2012-03-01,2013-02-24,N,2012.0,3.0
451,The Broken Circle Breakdown,0.0,2012-10-09,2013-02-24,N,2012.0,10.0
454,The Lone Ranger,89289910.0,2013-07-03,2014-03-02,N,2013.0,7.0
455,The Book Thief,0.0,2013-11-08,2014-03-02,N,2013.0,11.0
456,Her,17901029.0,2013-12-18,2014-03-02,W,2013.0,12.0
457,Saving Mr. Banks,53260198.0,2013-11-16,2014-03-02,N,2013.0,11.0
459,Get a Horse!,0.0,2013-11-27,2014-03-02,N,2013.0,11.0
460,Mr Hublot,0.0,2013-10-14,2014-03-02,W,2013.0,10.0
462,Room on the Broom,0.0,2012-12-25,2013-02-24,N,2012.0,12.0
463,Helium,0.0,2013-10-01,2014-03-02,W,2013.0,10.0
464,The Voorman Problem,0.0,2013-04-25,2014-03-02,N,2013.0,4.0
465,All Is Lost,4300353.0,2013-10-18,2014-03-02,N,2013.0,10.0
466,The Hobbit: The Desolation of Smaug,180443783.0,2013-12-11,2014-03-02,N,2013.0,12.0
467,Lone Survivor,97665254.0,2013-12-24,2014-03-02,N,2013.0,12.0
468,Iron Man 3,408992272.0,2013-04-18,2014-03-02,N,2013.0,4.0
469,Before Midnight,8114507.0,2013-04-05,2014-03-02,N,2013.0,4.0
471,Big Hero 6,0.0,2014-10-24,2015-02-22,W,2014.0,10.0
472,The Boxtrolls,52098992.0,2014-09-10,2015-02-22,N,2014.0,9.0
473,How to Train Your Dragon 2,147065544.0,2014-06-12,2015-02-22,N,2014.0,6.0
474,Song of the Sea,0.0,2014-09-06,2015-02-22,N,2014.0,9.0
475,The Grand Budapest Hotel,56939515.0,2014-02-26,2015-02-22,W,2014.0,2.0
476,Ida,0.0,2013-10-25,2014-03-02,W,2013.0,10.0
477,Mr. Turner,0.0,2014-10-31,2015-02-22,N,2014.0,10.0
478,Unbroken,70500647.0,2014-12-25,2015-02-22,N,2014.0,12.0
479,Inherent Vice,6100613.0,2014-12-25,2015-02-22,N,2014.0,12.0
480,Maleficent,190871149.0,2014-05-28,2015-02-22,N,2014.0,5.0
481,Citizenfour,0.0,2014-10-24,2015-02-22,W,2014.0,10.0
482,Finding Vivian Maier,0.0,2014-03-28,2015-02-22,N,2014.0,3.0
483,Last Days in Vietnam,408651.0,2014-09-05,2015-02-22,N,2014.0,9.0
485,Virunga,0.0,2014-11-07,2015-02-22,N,2014.0,11.0
486,Crisis Hotline: Veterans Press 1,0.0,2013-11-11,2014-03-02,W,2013.0,11.0
488,White Earth,0.0,2013-03-17,2014-03-02,N,2013.0,3.0
489,Leviathan,754393.0,1989-03-17,2005-02-27,N,1989.0,3.0
490,Timbuktu,696436.0,2014-12-10,2015-02-22,N,2014.0,12.0
491,Guardians of the Galaxy,270592504.0,2014-07-30,2015-02-22,N,2014.0,7.0
492,Interstellar,158737441.0,2014-11-05,2015-02-22,W,2014.0,11.0
493,Selma,0.0,2014-12-25,2015-02-22,W,2014.0,12.0
494,The Bigger Picture,0.0,2014-05-21,2015-02-22,N,2014.0,5.0
495,The Dam Keeper,0.0,2014-02-06,2015-02-22,N,2014.0,2.0
497,A Single Life,0.0,2014-12-04,2015-02-22,N,2014.0,12.0
498,Boogaloo and Graham,0.0,2014-08-01,2015-02-22,N,2014.0,8.0
499,Parvaneh,0.0,2012-11-01,2013-02-24,N,2012.0,11.0
500,The Phone Call,0.0,2013-10-20,2014-03-02,W,2013.0,10.0
501,The Hobbit: The Battle of the Five Armies,187747747.0,2014-12-10,2015-02-22,N,2014.0,12.0
502,Captain America: The Winter Soldier,228636083.0,2014-03-20,2015-02-22,N,2014.0,3.0
503,Dawn of the Planet of the Apes,183278877.0,2014-06-26,2015-02-22,N,2014.0,6.0
504,X-Men: Days of Future Past,199305306.0,2014-05-15,2015-02-22,N,2014.0,5.0
505,Nightcrawler,0.0,2014-10-23,2015-02-22,N,2014.0,10.0
509,Anomalisa,0.0,2015-12-30,2016-02-28,N,2015.0,12.0
510,Inside Out,264317903.0,2015-06-09,2016-02-28,W,2015.0,6.0
511,Shaun the Sheep Movie,0.0,2015-02-05,2016-02-28,N,2015.0,2.0
512,Mad Max: Fury Road,129483877.0,2015-05-13,2016-02-28,W,2015.0,5.0
513,Sicario,0.0,2015-09-17,2016-02-28,N,2015.0,9.0
514,Cinderella,183327144.0,2015-03-12,2016-02-28,N,2015.0,3.0
515,Amy,7851076.0,2015-07-03,2016-02-28,W,2015.0,7.0
516,Cartel Land,0.0,2015-07-03,2016-02-28,N,2015.0,7.0
517,The Look of Silence,48097.0,2014-08-30,2015-02-22,N,2014.0,8.0
518,"What Happened, Miss Simone?",0.0,2015-01-22,2016-02-28,N,2015.0,1.0
519,Winter on Fire: Ukraine's Fight for Freedom,0.0,2015-10-09,2016-02-28,N,2015.0,10.0
520,Body Team 12,0.0,2015-04-19,2016-02-28,N,2015.0,4.0
521,"Chau, Beyond the Lines",0.0,2015-08-21,2016-02-28,N,2015.0,8.0
522,A Girl in the River: The Price of Forgiveness,0.0,2015-10-28,2016-02-28,W,2015.0,10.0
523,Last Day of Freedom,0.0,2015-04-11,2016-02-28,N,2015.0,4.0
524,Star Wars: The Force Awakens,936658640.0,2015-12-15,2016-02-28,N,2015.0,12.0
525,Mustang,560778.0,2015-06-17,2016-02-28,N,2015.0,6.0
528,Prologue,0.0,2015-06-01,2016-02-28,N,2015.0,6.0
529,Sanjay's Super Team,0.0,2015-11-25,2016-02-28,N,2015.0,11.0
530,World of Tomorrow,0.0,2015-03-05,2016-02-28,N,2015.0,3.0
531,Ave Maria,0.0,2015-05-18,2016-02-28,N,2015.0,5.0
532,Shok,0.0,2015-04-10,2016-02-28,N,2015.0,4.0
533,Stutterer,0.0,2015-07-08,2016-02-28,W,2015.0,7.0
534,Ex Machina,19012798.0,2015-01-21,2016-02-28,W,2015.0,1.0
535,Straight Outta Compton,129402415.0,2015-08-13,2016-02-28,N,2015.0,8.0
