,Movie,Box Office,Release Date_x,Award_date,Win or Nominated,Release Year,Release Month
306,The Imaginarium of Doctor Parnassus,7504196.0,2009-10-01,2010-03-07,N,2009.0,10.0
307,Sherlock Holmes,208711166.0,2009-12-23,2010-03-07,N,2009.0,12.0
308,The Young Victoria,10900000.0,2009-03-04,2010-03-07,W,2009.0,3.0
309,Harry Potter and the Half-Blood Prince,301920409.0,2009-07-07,2010-03-07,N,2009.0,7.0
310,Bright Star,4341275.0,2009-11-05,2010-03-07,N,2009.0,11.0
311,The Cove,619467.0,2009-07-31,2010-03-07,W,2009.0,7.0
312,"Food, Inc.",4238694.0,2008-09-07,2009-02-22,N,2008.0,9.0
313,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,453483.0,2009-10-16,2010-03-07,N,2009.0,10.0
314,Which Way Home,0.0,2009-01-31,2010-03-07,N,2009.0,1.0
315,China's Unnatural Disaster: The Tears of Sichuan Province,0.0,2009-05-07,2010-03-07,N,2009.0,5.0
316,The Last Truck: Closing of a GM Plant,0.0,2009-09-07,2010-03-07,N,2009.0,9.0
317,Music by Prudence,0.0,2010-04-01,2011-02-27,W,2010.0,4.0
318,District 9,115646235.0,2009-08-05,2010-03-07,N,2009.0,8.0
319,Ajami,500000.0,2009-09-17,2010-03-07,N,2009.0,9.0
320,Il Divo,200000.0,2008-05-28,2009-02-22,N,2008.0,5.0
321,Star Trek,257704099.0,2009-05-06,2010-03-07,W,2009.0,5.0
322,A Serious Man,9190525.0,2009-10-02,2010-03-07,N,2009.0,10.0
323,French Roast,0.0,2008-09-30,2009-02-22,N,2008.0,9.0
324,Granny O'Grimm's Sleeping Beauty,0.0,2008-01-01,2009-02-22,N,2008.0,1.0
325,Logorama,0.0,2009-01-01,2010-03-07,W,2009.0,1.0
326,A Matter of Loaf and Death,0.0,2008-12-03,2009-02-22,N,2008.0,12.0
328,Instead of Abracadabra,0.0,2008-01-23,2009-02-22,N,2008.0,1.0
329,Miracle Fish,0.0,2009-01-16,2010-03-07,N,2009.0,1.0
330,The New Tenants,0.0,2009-01-01,2010-03-07,W,2009.0,1.0
331,Transformers: Revenge of the Fallen,402076689.0,2009-06-19,2010-03-07,N,2009.0,6.0
332,In the Loop,2251324.0,2009-01-22,2010-03-07,N,2009.0,1.0
336,How to Train Your Dragon,216900000.0,2010-03-05,2011-02-27,N,2010.0,3.0
337,Toy Story 3,414984497.0,2010-06-16,2011-02-27,W,2010.0,6.0
338,Alice in Wonderland,319323000.0,2010-03-03,2011-02-27,W,2010.0,3.0
339,Harry Potter and the Deathly Hallows: Part 1,294980434.0,2010-10-17,2011-02-27,N,2010.0,10.0
340,Inception,292568851.0,2010-07-15,2011-02-27,W,2010.0,7.0
