,Movie,Release Date_x,Award_date,Release Year
155,Whiplash,2014-10-10,2015-02-22,2014.0
156,Still Alice,2014-12-05,2015-02-22,2014.0
157,Gone Girl,2014-10-01,2015-02-22,2014.0
158,Wild,2014-12-05,2015-02-22,2014.0
159,Into the Woods,2014-12-25,2015-02-22,2014.0
160,21 Years: Richard Linklater,2014-11-07,2015-02-22,2014.0
161,Trumbo,2015-10-27,2016-02-28,2015.0
162,The Martian,2015-09-30,2016-02-28,2015.0
163,The Revenant,2015-12-25,2016-02-28,2015.0
164,Steve Jobs,2015-10-09,2016-02-28,2015.0
165,The Danish Girl,2015-11-27,2016-02-28,2015.0
166,The Big Short,2015-12-11,2016-02-28,2015.0
167,Spotlight,2015-11-06,2016-02-28,2015.0
168,Bridge of Spies,2015-10-15,2016-02-28,2015.0
169,Creed,2015-11-25,2016-02-28,2015.0
170,Carol,2015-11-20,2016-02-28,2015.0
171,Room,2015-10-16,2016-02-28,2015.0
172,Joy,2015-12-24,2016-02-28,2015.0
173,45 Years,2015-08-28,2016-02-28,2015.0
174,Brooklyn,2015-10-20,2016-02-28,2015.0
175,The Hateful Eight,2015-12-25,2016-02-28,2015.0
176,Puskás Hungary,2009-03-12,2010-03-07,2009.0
179,I'm Still Here,2010-09-10,2011-02-27,2010.0
180,Cold Souls,2009-08-07,2010-03-07,2009.0
181,Jake Gyllenhaal Challenges the Winner of the Nobel Peace Prize,2010-01-01,2011-02-27,2010.0
183,Harry Potter and the Goblet of Fire,2005-11-16,2006-03-05,2005.0
184,King Kong,2005-12-12,2006-03-05,2005.0
185,Memoirs of a Geisha,2005-12-06,2006-03-05,2005.0
186,Batman Begins,2005-06-10,2006-03-05,2005.0
188,Charlie and the Chocolate Factory,2005-07-13,2006-03-05,2005.0
189,Munich,2005-12-23,2006-03-05,2005.0
190,Darwin's Nightmare,2004-09-01,2005-02-27,2004.0
191,Enron: The Smartest Guys in the Room,2005-04-22,2006-03-05,2005.0
192,Murderball,2005-07-22,2006-03-05,2005.0
193,Street Fight,2005-01-01,2006-03-05,2005.0
194,The Death of Kevin Carter: Casualty of the Bang Bang Club,2004-09-17,2005-02-27,2004.0
195,Joyeux Noël,2005-11-09,2006-03-05,2005.0
196,Paradise Now,2005-02-14,2006-03-05,2005.0
197,Tsotsi,2005-08-18,2006-03-05,2005.0
198,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,2006-03-05,2005.0
199,Star Wars: Episode III - Revenge of the Sith,2005-05-17,2006-03-05,2005.0
200,Badgered,2005-02-23,2006-03-05,2005.0
201,The Mysterious Geographic Explorations of Jasper Morello,2005-01-19,2006-03-05,2005.0
202,9,2009-08-19,2010-03-07,2009.0
203,One Man Band,2005-06-21,2006-03-05,2005.0
204,Cashback,2006-09-10,2007-02-25,2006.0
205,Our Time Is Up,2004-01-01,2005-02-27,2004.0
206,Six Shooter,2004-01-01,2005-02-27,2004.0
207,War of the Worlds,2005-06-28,2006-03-05,2005.0
208,Match Point,2005-10-26,2006-03-05,2005.0
