Award,Winner,Film
Music (Original Score),,Alberto Iglesias
Music (Original Score),,James Newton Howard
Music (Original Score),,Michael Giacchino
Music (Original Score),,Marco Beltrami
Music (Original Song),,Music by Alan Menken; Lyric by Stephen Schwartz
Music (Original Song),,"Music and Lyric by Jamal Joseph, Charles Mack and Tevin Thomas"
Music (Original Song),,Music by Alan Menken; Lyric by Stephen Schwartz
Music (Original Song),,Music by Alan Menken; Lyric by Stephen Schwartz
Best Picture,,"Tim Bevan, Eric Fellner and Paul Webster, Producers"
Best Picture,,"Lianne Halfon, Mason Novick and Russell Smith, Producers"
Best Picture,,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers"
Best Picture,,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers"
Short Film (Animated),,Josh Raskin
Short Film (Animated),,Chris Lavis and Maciek Szczerbowski
Short Film (Animated),,Samuel Tourneux and Simon Vanesse
Short Film (Animated),,Alexander Petrov
Short Film (Live Action),,Christian E. Christiansen and Louise Vesth
Short Film (Live Action),,Andrea Jublin
Short Film (Live Action),,Guido Thys and Anja Daelemans
Short Film (Live Action),,Daniel Barber and Matthew Brown
Sound Editing,,Skip Lievsay
Sound Editing,,Randy Thom and Michael Silvers
Sound Editing,,Christopher Scarabosio and Matthew Wood
Sound Editing,,Ethan Van der Ryn and Mike Hopkins
Sound Mixing,,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter Kurland"
Sound Mixing,,"Randy Thom, Michael Semanick and Doc Kane"
Sound Mixing,,"Paul Massey, David Giammarco and Jim Stuebe"
Sound Mixing,,"Kevin O'Connell, Greg P. Russell and Peter J. Devlin"
Visual Effects,,"John Knoll, Hal Hickel, Charles Gibson and John Frazier"
Visual Effects,,"Scott Farrar, Scott Benza, Russell Earl and John Frazier"
Writing (Adapted Screenplay),,Screenplay by Christopher Hampton
Writing (Adapted Screenplay),,Written by Sarah Polley
Writing (Adapted Screenplay),,Screenplay by Ronald Harwood
Writing (Adapted Screenplay),,Written for the Screen by Paul Thomas Anderson
Writing (Original Screenplay),,Written by Nancy Oliver
Writing (Original Screenplay),,Written by Tony Gilroy
Writing (Original Screenplay),,"Screenplay by Brad Bird; Story by Jan Pinkava, Jim Capobianco, Brad Bird"
Writing (Original Screenplay),,Written by Tamara Jenkins
Actor in a Leading Role,,The Visitor
Actor in a Leading Role,,Frost/Nixon
Actor in a Leading Role,,The Curious Case of Benjamin Button
Actor in a Leading Role,,The Wrestler
Actor in a Supporting Role,,Milk
Actor in a Supporting Role,,Tropic Thunder
Actor in a Supporting Role,,Doubt
Actor in a Supporting Role,,Revolutionary Road
Actress in a Leading Role,,Rachel Getting Married
Actress in a Leading Role,,Changeling
Actress in a Leading Role,,Frozen River
Actress in a Leading Role,,Doubt
Actress in a Supporting Role,,Doubt
Actress in a Supporting Role,,Doubt
Actress in a Supporting Role,,The Curious Case of Benjamin Button
Actress in a Supporting Role,,The Wrestler
Animated Feature Film,,Chris Williams and Byron Howard
Animated Feature Film,,John Stevenson and Mark Osborne
Art Direction,,Art Direction: James J. Murakami; Set Decoration: Gary Fettis
Art Direction,,Art Direction: Nathan Crowley; Set Decoration: Peter Lando
Art Direction,,Art Direction: Michael Carlin; Set Decoration: Rebecca Alleway
Art Direction,,Art Direction: Kristi Zea; Set Decoration: Debra Schutt
Cinematography,,Tom Stern
Cinematography,,Claudio Miranda
Cinematography,,Wally Pfister
Cinematography,,Chris Menges and Roger Deakins
Costume Design,,Catherine Martin
Costume Design,,Jacqueline West
Costume Design,,Danny Glicker
Costume Design,,Albert Wolsky
Directing,,David Fincher
Directing,,Ron Howard
Directing,,Gus Van Sant
Directing,,Stephen Daldry
Documentary (Feature),,Ellen Kuras and Thavisouk Phrasavath
Documentary (Feature),,Werner Herzog and Henry Kaiser
Documentary (Feature),,Scott Hamilton Kennedy
Documentary (Feature),,Tia Lessin and Carl Deal
Documentary (Short Subject),,Steven Okazaki
Documentary (Short Subject),,Irene Taylor Brodsky and Tom Grant
Documentary (Short Subject),,Adam Pertofsky and Margaret Hyde
Film Editing,,Kirk Baxter and Angus Wall
Film Editing,,Lee Smith
Film Editing,,Mike Hill and Dan Hanley
Film Editing,,Elliot Graham
Foreign Language Film,,Germany
Foreign Language Film,,France
Foreign Language Film,,Austria
Foreign Language Film,,Israel
Makeup,,"John Caglione, Jr. and Conor O'Sullivan"
Makeup,,Mike Elizalde and Thom Floutz
Music (Original Score),,Alexandre Desplat
Music (Original Score),,James Newton Howard
Music (Original Score),,Danny Elfman
Music (Original Score),,Thomas Newman
Music (Original Song),,Music by Peter Gabriel and Thomas Newman; Lyric by Peter Gabriel
Music (Original Song),,Music and Lyric by A.R. Rahman and Maya Arulpragasam
Best Picture,,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers"
Best Picture,,"Brian Grazer, Ron Howard and Eric Fellner, Producers"
Best Picture,,"Dan Jinks and Bruce Cohen, Producers"
Best Picture,,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers"
Short Film (Animated),,Konstantin Bronzit
