Award,Winner,Film
Short Film (Animated),1.0,Laurent Witz and Alexandre Espigares
Short Film (Live Action),1.0,Anders Walter and Kim Magnusson
Sound Editing,1.0,Glenn Freemantle
Sound Mixing,1.0,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro"
Visual Effects,1.0,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould"
Writing (Adapted Screenplay),1.0,Screenplay by John Ridley
Writing (Original Screenplay),1.0,Written by Spike Jonze
Jean Hersholt Humanitarian Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,The Theory of Everything
Actor in a Supporting Role,1.0,Whiplash
Actress in a Leading Role,1.0,Still Alice
Actress in a Supporting Role,1.0,Boyhood
Animated Feature Film,1.0,"Don Hall, Chris Williams and Roy Conli"
Cinematography,1.0,Emmanuel Lubezki
Costume Design,1.0,Milena Canonero
Directing,1.0,Alejandro G. Iñárritu
Documentary (Feature),1.0,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky"
Documentary (Short Subject),1.0,Ellen Goosenberg Kent and Dana Perry
Film Editing,1.0,Tom Cross
Foreign Language Film,1.0,Poland
Makeup and Hairstyling,1.0,Frances Hannon and Mark Coulier
Music (Original Score),1.0,Alexandre Desplat
Music (Original Song),1.0,Music and Lyric by John Stephens and Lonnie Lynn
Best Picture,1.0,"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
Production Design,1.0,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock
Short Film (Animated),1.0,Patrick Osborne and Kristina Reed
Short Film (Live Action),1.0,Mat Kirkby and James Lucas
Sound Editing,1.0,Alan Robert Murray and Bub Asman
Sound Mixing,1.0,"Craig Mann, Ben Wilkins and Thomas Curley"
Visual Effects,1.0,"Paul Franklin, Andrew Lockley, Ian Hunter and Scott Fisher"
Writing (Adapted Screenplay),1.0,Written by Graham Moore
Writing (Original Screenplay),1.0,"Written by Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Jr. & Armando Bo"
Jean Hersholt Humanitarian Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
Award of Commendation,1.0,
Actor in a Leading Role,1.0,The Revenant
Actor in a Supporting Role,1.0,Bridge of Spies
Actress in a Leading Role,1.0,Room
Actress in a Supporting Role,1.0,The Danish Girl
Animated Feature Film,1.0,Pete Docter and Jonas Rivera
Costume Design,1.0,Jenny Beavan
Directing,1.0,Alejandro G. Iñárritu
Documentary (Feature),1.0,Asif Kapadia and James Gay-Rees
Documentary (Short Subject),1.0,Sharmeen Obaid-Chinoy
Film Editing,1.0,Margaret Sixel
Foreign Language Film,1.0,Hungary
Makeup and Hairstyling,1.0,"Lesley Vanderwalt, Elka Wardega and Damian Martin"
Music (Original Score),1.0,Ennio Morricone
Music (Original Song),1.0,Music and Lyric by Jimmy Napes and Sam Smith
Best Picture,1.0,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
Production Design,1.0,Production Design: Colin Gibson; Set Decoration: Lisa Thompson
Short Film (Animated),1.0,Gabriel Osorio and Pato Escala
Short Film (Live Action),1.0,Benjamin Cleary and Serena Armitage
Sound Editing,1.0,Mark Mangini and David White
Sound Mixing,1.0,"Chris Jenkins, Gregg Rudloff and Ben Osmo"
Visual Effects,1.0,"Andrew Whitehurst, Paul Norris, Mark Ardington and Sara Bennett"
Writing (Adapted Screenplay),1.0,Screenplay by Charles Randolph and Adam McKay
Writing (Original Screenplay),1.0,Written by Josh Singer & Tom McCarthy
Jean Hersholt Humanitarian Award,1.0,
Honorary Award,1.0,
Honorary Award,1.0,
