Award,Winner,Film
Directing,,Julian Schnabel
Directing,,Jason Reitman
Directing,,Tony Gilroy
Directing,1.0,Joel Coen and Ethan Coen
Directing,,Paul Thomas Anderson
Documentary (Feature),,Charles Ferguson and Audrey Marrs
Documentary (Feature),,Richard E. Robbins
Documentary (Feature),,Michael Moore and Meghan O'Hara
Documentary (Feature),1.0,Alex Gibney and Eva Orner
Documentary (Feature),,Andrea Nix Fine and Sean Fine
Documentary (Short Subject),1.0,Cynthia Wade and Vanessa Roth
Documentary (Short Subject),,Amanda Micheli and Isabel Vega
Documentary (Short Subject),,Tim Sternberg and Francisco Bello
Documentary (Short Subject),,James Longley
Film Editing,1.0,Christopher Rouse
Film Editing,,Juliette Welfling
Film Editing,,Jay Cassidy
Film Editing,,Roderick Jaynes
Film Editing,,Dylan Tichenor
Foreign Language Film,,Israel
Foreign Language Film,1.0,Austria
Foreign Language Film,,Poland
Foreign Language Film,,Kazakhstan
Foreign Language Film,,Russia
Makeup,1.0,Didier Lavergne and Jan Archibald
Makeup,,Rick Baker and Kazuhiro Tsuji
Makeup,,Ve Neill and Martin Samuel
Music (Original Score),1.0,Dario Marianelli
Music (Original Score),,Alberto Iglesias
Music (Original Score),,James Newton Howard
Music (Original Score),,Michael Giacchino
Music (Original Score),,Marco Beltrami
Music (Original Song),1.0,Music and Lyric by Glen Hansard and Marketa Irglova
Music (Original Song),,Music by Alan Menken; Lyric by Stephen Schwartz
Music (Original Song),,"Music and Lyric by Jamal Joseph, Charles Mack and Tevin Thomas"
Music (Original Song),,Music by Alan Menken; Lyric by Stephen Schwartz
Music (Original Song),,Music by Alan Menken; Lyric by Stephen Schwartz
Best Picture,,"Tim Bevan, Eric Fellner and Paul Webster, Producers"
Best Picture,,"Lianne Halfon, Mason Novick and Russell Smith, Producers"
Best Picture,,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers"
Best Picture,1.0,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
Best Picture,,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers"
Short Film (Animated),,Josh Raskin
Short Film (Animated),,Chris Lavis and Maciek Szczerbowski
Short Film (Animated),,Samuel Tourneux and Simon Vanesse
Short Film (Animated),,Alexander Petrov
