,Movie,Rating,Release Date,Runtime,Metascore,IMDb Rating,Box Office,Awards,Production Company
104,127 Hours,R,28 Jan 2011,94 min,82,7.6,"$18,329,466",Nominated for 6 Oscars. Another 23 wins & 141 nominations.,Fox Searchlight
105,The Fighter,R,17 Dec 2010,116 min,79,7.8,"$93,571,803",Won 2 Oscars. Another 72 wins & 116 nominations.,Paramount Pictures
106,Winter's Bone,R,16 Jul 2010,100 min,90,7.2,"$6,200,000",Nominated for 4 Oscars. Another 63 wins & 120 nominations.,Roadside Attractions
107,The Town,R,17 Sep 2010,125 min,74,7.6,"$92,173,235",Nominated for 1 Oscar. Another 9 wins & 45 nominations.,Warner Bros. Pictures
108,The Kids Are All Right,R,30 Jul 2010,106 min,86,7.0,"$20,803,237",Nominated for 4 Oscars. Another 28 wins & 120 nominations.,Focus Features
109,Rabbit Hole,PG-13,28 Jan 2011,91 min,76,7.0,"$2,221,809",Nominated for 1 Oscar. Another 7 wins & 40 nominations.,Lionsgate Films
110,Black Swan,R,17 Dec 2010,108 min,79,8.0,"$106,952,327",Won 1 Oscar. Another 91 wins & 257 nominations.,Fox Searchlight
111,Blue Valentine,R,28 Jan 2011,112 min,81,7.4,"$9,600,000",Nominated for 1 Oscar. Another 9 wins & 52 nominations.,Weinstein Company
112,Animal Kingdom,R,03 Jun 2010,113 min,83,7.3,"$1,000,000",Nominated for 1 Oscar. Another 38 wins & 54 nominations.,Sony Pictures Classics
113,A Better Life,PG-13,28 Jul 2011,98 min,64,7.2,"$1,754,319",Nominated for 1 Oscar. Another 6 wins & 8 nominations.,Summit Entertainment
114,The Descendants,R,09 Dec 2011,115 min,84,7.3,"$78,500,000",Won 1 Oscar. Another 66 wins & 142 nominations.,Fox Searchlight Pictures
115,The Artist,PG-13,20 Jan 2012,100 min,89,7.9,"$44,667,095",Won 5 Oscars. Another 145 wins & 188 nominations.,The Weinstein Company
116,Tinker Tailor Soldier Spy,R,06 Jan 2012,122 min,85,7.1,"$20,200,000",Nominated for 3 Oscars. Another 35 wins & 93 nominations.,Focus Features
117,Moneyball,PG-13,23 Sep 2011,133 min,87,7.6,"$75,605,492",Nominated for 6 Oscars. Another 29 wins & 75 nominations.,Sony Pictures
118,My Week with Marilyn,R,23 Dec 2011,99 min,65,7.0,"$12,600,000",Nominated for 2 Oscars. Another 19 wins & 59 nominations.,The Weinstein Company
119,Warrior,PG-13,09 Sep 2011,140 min,71,8.2,"$13,600,000",Nominated for 1 Oscar. Another 6 wins & 20 nominations.,Lionsgate
120,Beginners,R,09 Jun 2011,105 min,81,7.2,"$5,764,842",Won 1 Oscar. Another 34 wins & 29 nominations.,Focus Features
121,Extremely Loud & Incredibly Close,PG-13,20 Jan 2012,129 min,46,6.9,"$31,836,745",Nominated for 2 Oscars. Another 8 wins & 23 nominations.,Warner Bros. Pictures
122,Albert Nobbs,R,22 Feb 2012,113 min,57,6.7,"$3,014,541",Nominated for 3 Oscars. Another 19 wins & 39 nominations.,Roadside Attractions
123,The Help,PG-13,10 Aug 2011,146 min,62,8.1,"$169,705,587",Won 1 Oscar. Another 79 wins & 116 nominations.,DreamWorks Studios
124,The Girl with the Dragon Tattoo,R,21 Dec 2011,158 min,71,7.8,"$102,515,793",Won 1 Oscar. Another 27 wins & 90 nominations.,Sony Pictures
125,The Iron Lady,PG-13,13 Jan 2012,105 min,54,6.4,"$29,959,436",Won 2 Oscars. Another 23 wins & 47 nominations.,The Weinstein Co.
126,Bridesmaids,R,13 May 2011,125 min,75,6.8,"$166,500,000",Nominated for 2 Oscars. Another 25 wins & 69 nominations.,Universal Studios
127,La corrupción de Chris Miller,R,01 Sep 1975,107 min,N/A,6.5,N/A,N/A,N/A
128,Rango,PG,04 Mar 2011,107 min,75,7.2,"$123,188,232",Won 1 Oscar. Another 45 wins & 24 nominations.,Paramount Pictures
129,Woody Allen: A Documentary,N/A,30 May 2012,195 min,N/A,7.7,N/A,N/A,N/A
130,Rosy-Fingered Dawn: a Film on Terrence Malick,N/A,01 Sep 2002,90 min,N/A,6.2,N/A,N/A,N/A
131,The Living Daylights,PG,31 Jul 1987,130 min,60,6.7,N/A,3 wins & 4 nominations.,MGM Home Entertainment
