,Unnamed: 0,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,noms,wins,nominations,oscar_wins
119,119,Bridesmaids,2011-05-13,13 May 2011,32500000.0,288383523.0,166500000.0,Comedy,R,125.0,75.0,6.8,Nominated for 2 Oscars. Another 25 wins & 69 nominations.,Universal Studios,Nominated for 2 Oscars. Another 25 wins ,25.0,69.0,
120,120,La corrupción de Chris Miller,1973-05-17,01 Sep 1975,0.0,0.0,0.0,Drama,R,107.0,,6.5,,,,0.0,,
121,121,Rango,2011-03-02,04 Mar 2011,10000000.0,0.0,123188232.0,Animation,PG,107.0,75.0,7.2,Won 1 Oscar. Another 45 wins & 24 nominations.,Paramount Pictures,Won 1 Oscar. Another 45 wins ,45.0,24.0,
122,122,Woody Allen: A Documentary,2011-11-20,30 May 2012,0.0,0.0,0.0,Documentary,,195.0,,7.7,,,,0.0,,
123,123,The Living Daylights,1987-06-29,31 Jul 1987,40000000.0,191185897.0,0.0,Action,PG,130.0,60.0,6.7,3 wins & 4 nominations.,MGM Home Entertainment,3 wins ,0.0,4.0,
124,124,Silver Linings Playbook,2012-09-08,25 Dec 2012,21000000.0,236412453.0,132088910.0,Drama,R,122.0,81.0,7.7,Won 1 Oscar. Another 88 wins & 145 nominations.,The Weinstein Company,Won 1 Oscar. Another 88 wins ,88.0,145.0,
125,125,Lincoln,2012-11-09,16 Nov 2012,65000000.0,275293450.0,129477447.0,History,PG-13,150.0,86.0,7.4,Won 2 Oscars. Another 108 wins & 242 nominations.,Dreamworks Pictures,Won 2 Oscars. Another 108 wins ,108.0,242.0,
126,126,Les Misérables,2012-12-18,25 Dec 2012,61000000.0,441809770.0,148775460.0,History,PG-13,158.0,63.0,7.6,Won 3 Oscars. Another 81 wins & 172 nominations.,Universal Pictures,Won 3 Oscars. Another 81 wins ,81.0,172.0,
127,127,The Master,2012-09-07,21 Sep 2012,32000000.0,28258060.0,15800000.0,Drama,R,138.0,86.0,7.1,Nominated for 3 Oscars. Another 76 wins & 179 nominations.,The Weinstein Company,Nominated for 3 Oscars. Another 76 wins ,76.0,179.0,
128,128,Flight,2012-11-02,02 Nov 2012,31000000.0,161772375.0,89400000.0,Drama,R,138.0,76.0,7.3,Nominated for 2 Oscars. Another 16 wins & 42 nominations.,Paramount Pictures,Nominated for 2 Oscars. Another 16 wins ,16.0,42.0,
129,129,Argo,2012-10-11,12 Oct 2012,44500000.0,232324128.0,136019448.0,Drama,R,120.0,86.0,7.7,Won 3 Oscars. Another 94 wins & 152 nominations.,Warner Bros. Pictures,Won 3 Oscars. Another 94 wins ,94.0,152.0,
130,130,Django Unchained,2012-12-25,25 Dec 2012,100000000.0,425368238.0,162804648.0,Drama,R,165.0,81.0,8.4,Won 2 Oscars. Another 56 wins & 151 nominations.,The Weinstein Co.,Won 2 Oscars. Another 56 wins ,56.0,151.0,
