,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
431,Curfew,2012-01-01,04 Oct 2012,50000.0,0.0,0.0,Drama,PG-13,19.0,,7.9,"W1O, ++20,3",Fuzzy Logic Pictures,20.0,3.0,W,1
432,Hardcore Henry,2015-09-12,08 Apr 2016,10000000.0,14333790.0,0.0,Action,R,96.0,51.0,6.7,"++1,1",,0.0,1.0,,1
433,The Avengers,2012-04-25,04 May 2012,220000000.0,1519557910.0,623279547.0,Science Fiction,PG-13,143.0,69.0,8.1,"N1O, ++38,79",Walt Disney Pictures,38.0,79.0,N,1
434,Prometheus,2012-05-30,08 Jun 2012,130000000.0,403170142.0,126464904.0,Science Fiction,R,124.0,64.0,7.0,"N1O, ++6,46",20th Century Fox,6.0,46.0,N,1
435,Moonrise Kingdom,2012-05-24,29 Jun 2012,16000000.0,68263166.0,45507865.0,Comedy,PG-13,94.0,84.0,7.8,"N1O, ++38,118",Focus Features,38.0,118.0,N,1
436,Jill Drew and D.A. Pennebaker,2016-04-20,20 Apr 2016,0.0,0.0,0.0,Documentary,,26.0,,,"0, 0, 0, 0,",,0.0,,,0
437,George Stevens Jr. On 'Woman of the Year',2017-04-18,18 Apr 2017,0.0,0.0,0.0,Documentary,,6.0,,,"0, 0, 0, 0,",,0.0,,,0
438,The Croods,2013-03-20,22 Mar 2013,135000000.0,585178928.0,187165546.0,Action,PG,98.0,55.0,7.2,"N1O, ++5,44",20th Century Fox,5.0,44.0,N,1
439,Despicable Me 2,2013-06-25,03 Jul 2013,76000000.0,970761885.0,368049635.0,Animation,PG,98.0,62.0,7.4,"N2O, ++12,65",Universal Pictures,12.0,65.0,N,2
440,Frozen,2013-11-27,27 Nov 2013,150000000.0,1274219009.0,400736600.0,Animation,PG,102.0,74.0,7.5,"W2O, ++77,57",Walt Disney Pictures,77.0,57.0,W,2
441,Inside Llewyn Davis,2013-10-06,10 Jan 2014,11000000.0,32935319.0,9666762.0,Drama,R,104.0,93.0,7.5,"N2O, ++47,169",CBS Films,47.0,169.0,N,2
442,Prisoners,2013-09-18,20 Sep 2013,46000000.0,122126687.0,60962878.0,Drama,R,153.0,74.0,8.1,"N1O, ++10,35",Warner Bros.,10.0,35.0,N,1
443,The Great Gatsby,2013-05-10,10 May 2013,105000000.0,351040419.0,144812796.0,Drama,PG-13,143.0,55.0,7.3,"W2O, ++47,83",Warner Bros. Pictures,47.0,83.0,W,2
444,The Invisible Woman,2013-12-25,21 Feb 2014,0.0,1234254.0,1200000.0,Drama,R,111.0,75.0,6.2,"N1O, ++++1,7",Sony Pictures Classics,1.0,7.0,N,1
445,Cutie and the Boxer,2013-08-16,01 Nov 2013,0.0,0.0,199274.0,Documentary,R,82.0,83.0,7.2,"N1O, ++8,13",Radius,8.0,13.0,N,1
446,Dirty Wars,2013-01-18,18 Oct 2013,0.0,0.0,365604.0,Documentary,NOT RATED,87.0,76.0,7.5,"N1O, ++10,6",IFC Films,10.0,6.0,N,1
447,The Square,2017-08-25,25 Aug 2017,0.0,1502347.0,1284672.0,Drama,R,151.0,73.0,7.3,"N1O, ++27,36",Magnolia Pictures,27.0,36.0,N,1
448,20 Feet from Stardom,2013-06-14,26 Jul 2013,1000000.0,5892466.0,0.0,Documentary,PG-13,91.0,83.0,7.4,"W1O, ++20,26",Radius-TWC,20.0,26.0,W,1
449,Cavedigger,2013-01-12,12 Jan 2013,0.0,0.0,0.0,Documentary,TV-G,39.0,,7.2,"N1O, ++1",KAROFFilms,0.0,,N,1
450,Karama Has No Walls,2012-03-01,01 Mar 2012,0.0,0.0,0.0,Documentary,,26.0,,7.7,"N1O, ++++1,,",,1.0,,N,1
451,The Broken Circle Breakdown,2012-10-09,10 Oct 2012,0.0,5475058.0,0.0,Drama,NOT RATED,111.0,70.0,7.8,"N1O, ++33,24",Tribeca Film,33.0,24.0,N,1
452,The Great American Beauty Contest,1973-02-13,13 Feb 1973,0.0,0.0,0.0,TV Movie,UNRATED,74.0,,6.2,"0, 0, 0, 0,",,0.0,,,0
453,Hunt for the Wilderpeople,2016-03-31,31 Mar 2016,2500000.0,23200000.0,5202582.0,Adventure,PG-13,101.0,81.0,7.9,"20,25",Piki Films,0.0,25.0,,2
454,The Lone Ranger,2013-07-03,03 Jul 2013,255000000.0,89289910.0,89289910.0,Action,PG-13,150.0,37.0,6.4,"N2O, ++4,17",Walt Disney Pictures,4.0,17.0,N,2
455,The Book Thief,2013-11-08,27 Nov 2013,0.0,76586316.0,0.0,Drama,PG-13,131.0,53.0,7.6,"N1O, ++8,14",20th Century Fox,8.0,14.0,N,1
456,Her,2013-12-18,10 Jan 2014,23000000.0,47351251.0,17901029.0,Romance,R,126.0,90.0,8.0,"W1O, ++82,181",Warner Bros. Pictures,82.0,181.0,W,1
457,Saving Mr. Banks,2013-11-16,20 Dec 2013,35000000.0,112544580.0,53260198.0,Comedy,PG-13,125.0,65.0,7.5,"N1O, ++13,72",Walt Disney Pictures,13.0,72.0,N,1
458,Feral,2018-05-25,25 May 2018,0.0,0.0,0.0,Thriller,,90.0,41.0,4.1,"0, 0, 0, 0,",,0.0,,,0
459,Get a Horse!,2013-11-27,27 Nov 2013,0.0,0.0,0.0,Animation,G,6.0,,7.6,"N1O, ++2,1",Walt Disney Pictures,2.0,1.0,N,1
460,Mr Hublot,2013-10-14,26 Feb 2014,295000.0,0.0,0.0,Animation,,11.0,,7.2,"W1O, ++4,2",,4.0,2.0,W,1
