,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Production Company,wins,nominations,Win or Nominated,Oscar Wins
351,The Wolfman,2010-02-11,12 Feb 2010,150000000.0,0.0,61937495.0,Drama,R,103.0,43.0,5.8,Universal Pictures,3.0,8.0,W,1
353,The Gruffalo,2009-12-25,09 Dec 2010,0.0,0.0,0.0,Animation,NOT RATED,27.0,0,7.5,Phase 4 Films,7.0,3.0,N,1
354,The Lost Thing,2010-06-03,11 Feb 2011,0.0,0.0,0.0,Animation,NOT RATED,15.0,0,7.4,Not Listed,8.0,2.0,W,1
356,Na Wewe,2010-04-25,11 Feb 2011,0.0,0.0,0.0,Comedy,Not Listed,19.0,0,6.9,Radio Télévision Belge Francophone,1.0,Not Listed,N,1
357,Wish 143,2009-11-19,11 Feb 2011,0.0,0.0,0.0,Drama,Not Listed,24.0,0,7.3,Not Listed,3.0,Not Listed,N,1
358,TRON: Legacy,2010-12-10,17 Dec 2010,170000000.0,400062763.0,172051787.0,Adventure,PG,125.0,49.0,6.8,Walt Disney Pictures,10.0,49.0,N,1
359,Unstoppable,2010-11-04,12 Nov 2010,100000000.0,167805466.0,81557479.0,Action,PG-13,98.0,69.0,6.8,20th Century Fox,1.0,13.0,N,1
360,Salt,2010-07-21,23 Jul 2010,110000000.0,293329073.0,118311368.0,Action,PG-13,100.0,65.0,6.4,Sony Pictures,4.0,15.0,N,1
361,Hereafter,2010-10-22,22 Oct 2010,50000000.0,105197635.0,32741596.0,Drama,PG-13,129.0,56.0,6.5,Warner Bros. Pictures,4.0,13.0,N,1
362,Iron Man 2,2010-04-28,07 May 2010,200000000.0,623933331.0,312057433.0,Adventure,PG-13,124.0,57.0,7.0,Paramount Studios,7.0,42.0,N,1
363,Another Year,2010-11-05,04 Feb 2011,8000000.0,18124262.0,3200000.0,Comedy,PG-13,129.0,80.0,7.3,Sony Classics,22.0,53.0,N,1
365,Hearts of Darkness: A Filmmaker's Apocalypse,1991-09-06,06 Dec 1991,0.0,0.0,0.0,Documentary,R,96.0,0,8.2,Showtime Network,6.0,5.0,W,2
369,Kung Fu Panda 2,2011-05-25,26 May 2011,150000000.0,665692281.0,165230261.0,Animation,PG,90.0,67.0,7.2,Paramount Studios/Dreamworks,5.0,46.0,N,1
370,Puss in Boots,2011-10-28,28 Oct 2011,130000000.0,554987477.0,149234747.0,Action,PG,90.0,65.0,6.6,Paramount/Dreamworks,9.0,42.0,N,1
371,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,15 Jul 2011,125000000.0,1342000000.0,381000185.0,Family,PG-13,130.0,87.0,8.1,Warner Bros. Pictures,45.0,91.0,N,3
372,Hugo,2011-11-22,23 Nov 2011,170000000.0,185770160.0,73820094.0,Adventure,PG,126.0,83.0,7.5,Paramount Studios,57.0,186.0,W,5
373,Midnight in Paris,2011-05-11,10 Jun 2011,30000000.0,151119219.0,55400000.0,Fantasy,PG-13,94.0,81.0,7.7,Sony Pictures Classics,24.0,101.0,W,1
374,War Horse,2011-12-25,25 Dec 2011,66000000.0,177584879.0,79883359.0,Drama,PG-13,146.0,72.0,7.2,Walt Disney Pictures,15.0,70.0,N,6
375,The Tree of Life,2011-05-18,17 May 2011,32000000.0,54674226.0,13303319.0,Drama,PG-13,139.0,85.0,6.8,Fox Searchlight,111.0,117.0,N,3
376,Anonymous,2011-10-21,28 Oct 2011,30000000.0,15395087.0,4463292.0,Drama,PG-13,130.0,50.0,6.9,Sony Pictures,7.0,8.0,N,1
377,Jane Eyre,2011-03-11,22 Apr 2011,0.0,34710627.0,0.0,Drama,PG-13,120.0,76.0,7.4,Focus Features,10.0,14.0,N,1
378,W.E.,2011-09-01,20 Jan 2012,15000000.0,868439.0,582075.0,Drama,R,119.0,37.0,6.3,The Weinstein Company,4.0,4.0,N,1
379,Hell and Back Again,2011-10-04,05 Oct 2011,0.0,0.0,37539.0,Documentary,NOT RATED,88.0,81.0,6.5,Docurama Films,4.0,8.0,N,1
380,If a Tree Falls: A Story of the Earth Liberation Front,2011-06-22,01 Jan 2011,0.0,0.0,61153.0,Documentary,UNRATED,85.0,65.0,7.2,Oscilloscope,6.0,3.0,N,1
381,Paradise Lost 3: Purgatory,2011-10-10,13 Oct 2012,0.0,0.0,0.0,Documentary,NOT RATED,121.0,85.0,8.1,@radical.media,5.0,5.0,N,1
382,Pina,2011-02-24,24 Feb 2011,4317946.0,14624826.0,3520458.0,Documentary,PG,103.0,83.0,7.7,IFC Films,10.0,24.0,N,1
